NAME_DE,NK_Codetable,NK_DangerSymbol,NK_Product,SHORT_NAME
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,0131949D-2AA1-48B4-8003-E8A3846A7460,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,0179EC0D-2395-4E0E-9F3D-D40B24A1D003,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,01D5F1BA-6E12-4177-A06E-8371C94B95D3,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,021E3C74-C569-4185-A21D-6E0CE21848B5,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,023DE78F-8641-4725-921D-F132BB9608A4,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,03B66B7E-B8B9-4D50-8621-B7B1C8C4CF1F,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,044B0EE2-4C90-4A6A-BD3F-05CEF11403DB,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,04CE20D0-B6F1-46D9-979E-FE92552D47B4,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,055905F3-5071-48DA-B676-A03A6E9DE188,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,05E0149E-9537-40C4-B885-2FB572409323,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,05EDBA73-7501-4445-994D-ADF3A9941887,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,0607FC9C-6E81-4722-BF6B-07ADDD4EBB3E,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,06A9CC3E-F0FE-4C53-A704-0A8145553C04,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,06EC806F-DFBD-4A17-BB56-22B8F3D67849,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,070E4A43-E7D8-4469-A3E8-C26BF0DE46B9,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,081173F2-04CF-4C40-9623-DEFB52137F2C,GHS09
Gewässergefährdend,165AAA1A-0C69-4230-9119-BE53811B329C,603A9A14-9F11-4FE0-ABFF-07DAD32F361D,083A5232-F56A-4734-AE8C-43F9BD769139,GHS09
