NK_Codetable,NK_Indication,NK_TimeMeasure
095EEB98-31D5-472E-91DB-CB2EF4306EED,094DF840-26F7-4F77-95F2-EC72B4C6FAE1,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0A16868F-13B2-4C15-9666-737BF893BF15,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0A2B9EE3-9018-4809-BE88-B5179610E4C3,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0B2536E3-0648-4FAA-A549-2133E76849C7,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0B67A72B-F884-4F4B-8B3E-C8DAFAD395EB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0C0BC142-E941-4088-B4FD-3C98279EB967,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0C752F9F-0305-4FC0-A85E-44E67197A8CA,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0CECDF03-C33C-4765-BF25-DCACFFE40DC5,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0CFE51CF-541E-4144-8DA1-2D1C8462E31D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0D2A1D94-B86A-4013-B176-5616BBDEA58D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0D98187D-40E4-42D8-A2F8-0C4C52751238,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0E50C451-9D7C-4DB5-95E4-F787719AE5A7,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0E7CB063-B56F-47C9-AE60-8107D39EAFEA,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0EDA4668-8B66-4BB9-989D-44577CD7387E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0EF0F5E9-1C7A-4A0B-BD99-180BB39C4852,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0EFB511D-B70B-4F52-A8A9-B62385207997,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0F14E614-0068-4BEC-AFF3-484EE0AB1EA7,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0F18D9E1-0F27-4E10-952C-86F40B2F18FD,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0F413155-1E42-4A8E-832F-6C471F2F1CC7,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0F44ADAD-8904-45F9-ACF6-65BEE5676F5F,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0FE66A07-3809-4C10-B84A-BAAD9B75E417,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,0FF4DB12-5170-4AFC-9E51-D9E1609633CB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,10119A3B-18C7-4DB7-808C-01AA51CF4E39,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,102F4CBD-75B1-4A9B-BA1D-80B40B54C4DB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1047A85B-14D0-4836-A791-84F122FB44BB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,10539DF2-071D-41BA-8BAB-A81CA7C2D153,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,109A4B24-9455-4C48-9FBE-125EA335400D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,10A874EB-149D-4040-AD28-40D5BB4BBF6C,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,10AC586C-BE72-4359-9227-3B1CBBAAE81F,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,110954E1-4332-4130-9422-C19173744207,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,11B725D8-4301-4C2F-BC00-38A8B2D2EC95,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,11B9D342-449A-4C39-AEEC-022D49C96BAA,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,11C99B0D-2E61-4C16-A7B9-D93DE0AED612,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1213BA80-165E-4DA9-B758-1899AC1421AF,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,125DACBB-2CFE-4D65-A7CA-77822489B437,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1268FF9C-0F05-4676-AD78-B3D769681C03,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,12F541A3-EB19-432C-B56B-E05C449FAB02,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,13486E70-46F7-43F2-B643-E21F09DAA768,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,138DF514-620B-4EB1-9BF6-A33B3BAC7CA1,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,13BD57FC-744D-49AE-85CC-E07D6B9E7754,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,142DE1EE-B1AA-41F3-8CA8-5781EE3BE735,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1446D0E0-47C2-4C00-ADDE-203CF0750E87,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,14AC8263-96A7-400E-B378-6AA64E4A6BD2,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,153306EB-BE5E-4CE5-832E-CEE93AB7E028,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1543D8AA-CAB7-49FB-8BF9-6387FEAC4A8A,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,158F3A0F-9474-4851-ACAC-E0D1336CA1C8,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,15A1DA94-9A99-451F-AD8E-94E7894F181B,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,15C1EEC8-2185-44E6-93DB-FFEC9AABA2FF,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,16724DEF-324A-4756-84AB-EDED106A790A,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,168A17E8-DD22-469D-947B-8F5EC8717616,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,169D3408-D392-4782-A937-46CF3B43F853,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,16E3EAC1-7821-4142-8C6E-240189309DF6,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,16F2993A-2337-4F66-AE0B-AD76D8204692,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,17289271-D906-4253-989B-0BC12FB56D8D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,17718243-FE6E-4C80-B538-4AA3E329CE3C,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1829EFC4-ECF6-4822-8BE3-A84C6E21749E,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,183AA04C-6288-4F07-ACA0-678C722F93B2,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,183ABF4F-B575-4A88-91D8-9F44E6CB752F,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,183B3DFF-907E-4BA5-8C1F-2DFE9E5C84CB,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,184B725D-38D6-4599-B48E-9E919D8E35D4,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,18720207-5A47-4B8F-AF7C-47F8BCE70D1D,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,18CA3E9F-84D0-4F76-91E5-0E2585614B02,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,18CC1B89-3367-4340-B955-D89F0A7C8812,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,18EA741A-2283-41C3-A7ED-3A7EDEC33659,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,1968A335-4D99-4A00-9B23-0B3E44DD12C2,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,19834B8D-2DB9-45C0-AF74-E2EB1BF0A875,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,19AC94C9-654F-472A-AAD9-CE6B0CBEE555,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,19ADB29B-FA67-44DA-896A-5E689B327FE1,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
095EEB98-31D5-472E-91DB-CB2EF4306EED,19B9B765-71E7-4289-991B-ACEC5F03C793,E1C965B2-857F-42D8-8D35-E46B5EBC7E61
