dosageFrom,dosageTo,expenditureFrom,expenditureTo,NK_ApplicationArea,NK_Indication,NK_Measure,NK_TimeMeasure,serialNumber,waitingPeriod
1.000000,NULL,10.000000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,2E62430B-BD6A-4C13-B0B7-6F4CC8762D75,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,94,NULL
0.300000,0.500000,4.800000,8.000000,85575C30-3421-425D-BE97-53343516987F,31486BE9-C6DB-40AE-BD48-B04D118172D5,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,90,0
0.500000,0.750000,8.000000,12.000000,85575C30-3421-425D-BE97-53343516987F,52F58381-2187-4057-87CB-A2FEDA4AAAA5,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,91,0
0.100000,0.200000,NULL,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,596FA06E-C5B3-4A37-9B15-C8F688F939A2,NULL,NULL,83,NULL
0.750000,NULL,12.000000,NULL,85575C30-3421-425D-BE97-53343516987F,5DA170B0-1DA4-4CB4-B214-A22454060EF2,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,82,0
0.750000,NULL,12.000000,NULL,85575C30-3421-425D-BE97-53343516987F,6754D26D-3B84-4D78-973F-ED39B4FCC901,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,88,0
1.000000,NULL,10.000000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,69DBD148-1C69-45ED-8D90-CADAF6407852,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,95,NULL
2.000000,NULL,20.000000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,876896BB-86F6-4E9D-9559-4A13A6FCC557,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,80,NULL
0.300000,0.500000,4.800000,8.000000,85575C30-3421-425D-BE97-53343516987F,88BBA6FD-3564-4A7A-A1FD-A36E7347617C,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,78,0
1.000000,NULL,10.000000,NULL,18C98256-F447-45D8-B653-2DC827F7E15A,8A96FD69-86FE-4EF3-A2D3-6279CD37E0D7,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,77,NULL
2.000000,NULL,32.000000,NULL,85575C30-3421-425D-BE97-53343516987F,93AA9415-A1AE-426A-96D2-B1C6EB78E7FE,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,81,0
2.000000,NULL,16.000000,NULL,46763FF9-FEC9-42C2-8D65-0757802CA9A4,98CEC8C0-2102-47E4-99E6-E39BA70E73E2,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,75,NULL
NULL,NULL,2.000000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,A05408D2-91A5-4D46-ADB5-77E30BD241B5,BF45D8F6-A560-441D-8BB4-E266EB9790AD,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,93,14
0.300000,0.500000,4.800000,8.000000,85575C30-3421-425D-BE97-53343516987F,A0FD6F20-1565-4309-A776-628812B5E721,BF45D8F6-A560-441D-8BB4-E266EB9790AD,5884D715-A236-4FAB-B563-6755592E3583,74,3
0.250000,NULL,NULL,NULL,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,ACAC9803-3826-4E45-B2B3-9EB9C2104765,NULL,5884D715-A236-4FAB-B563-6755592E3583,76,1
0.300000,0.500000,4.800000,8.000000,85575C30-3421-425D-BE97-53343516987F,AE903FD2-D720-4FFE-B4E9-45DD0EE00C2A,BF45D8F6-A560-441D-8BB4-E266EB9790AD,5884D715-A236-4FAB-B563-6755592E3583,79,3
0.100000,0.200000,NULL,NULL,167CF608-6733-4802-B1A1-2B4DFA3FF980,BB572105-C052-468D-AE83-D0A9C453797D,NULL,NULL,85,NULL
0.100000,0.200000,NULL,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,BEDD24C6-BF67-428B-9B9D-08EBFE3AB162,NULL,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,92,3
0.100000,0.400000,1.600000,6.400000,46763FF9-FEC9-42C2-8D65-0757802CA9A4,E5167C61-84BD-4B35-9AC5-D5EE44F9BAEB,BF45D8F6-A560-441D-8BB4-E266EB9790AD,5884D715-A236-4FAB-B563-6755592E3583,86,3
0.100000,0.200000,1.000000,2.000000,4B077AA2-A7D9-4389-9EEE-97387CE6612D,F3AD6548-A309-4930-BF77-B8788A94C830,BF45D8F6-A560-441D-8BB4-E266EB9790AD,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,84,3
0.200000,0.400000,2.000000,4.000000,18C98256-F447-45D8-B653-2DC827F7E15A,F68FE5A7-99FF-4574-900C-164D2541929D,BF45D8F6-A560-441D-8BB4-E266EB9790AD,NULL,89,NULL
NULL,NULL,5.000000,6.250000,85575C30-3421-425D-BE97-53343516987F,2D4C6FC6-9AA9-455B-8564-9AA80FF75ABB,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,20,0
NULL,NULL,1.250000,1.875000,36FDEB64-A857-41EC-BC15-3D6A3F3B9C3E,35B66CDC-CC15-4A07-8F22-7DB8D2A72162,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,16,0
NULL,NULL,2.500000,3.750000,4B077AA2-A7D9-4389-9EEE-97387CE6612D,3D477FB8-5988-4D37-9E84-B176FBEBF1B1,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,21,0
NULL,NULL,2.500000,4.000000,167CF608-6733-4802-B1A1-2B4DFA3FF980,5D7DC670-AF48-4137-89BA-CA7982D933A9,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,24,0
NULL,NULL,2.500000,4.000000,85575C30-3421-425D-BE97-53343516987F,637516FF-24E8-44C8-81FF-90616ED4B038,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,23,0
NULL,NULL,5.000000,6.250000,18C98256-F447-45D8-B653-2DC827F7E15A,76597EDD-6C68-49BF-BF48-B23B38BA26C6,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,19,0
NULL,NULL,2.500000,4.000000,18C98256-F447-45D8-B653-2DC827F7E15A,989D5342-7B04-4082-9E9D-349160221DE3,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,22,0
NULL,NULL,2.800000,3.100000,4B077AA2-A7D9-4389-9EEE-97387CE6612D,9FC62500-4247-40E3-9215-FE9E4A388557,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,26,0
NULL,NULL,5.000000,6.250000,167CF608-6733-4802-B1A1-2B4DFA3FF980,BB111753-C391-40F7-9701-0FB77A55E62E,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,NULL,25,0
NULL,NULL,10.000000,20.000000,F023E299-3212-4A88-AE78-1184E2D85122,908C2E6F-2F98-4261-AB09-9B2CF12AF890,FE3FDD60-6210-437A-91A5-68AE861B5768,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,3,30
NULL,NULL,4.000000,NULL,4B077AA2-A7D9-4389-9EEE-97387CE6612D,720D1362-1E53-4EB4-9A22-4D84E134F276,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12,E1C965B2-857F-42D8-8D35-E46B5EBC7E61,4,14
