NK_Codetable,NK_Indication,NK_Measure
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E4E8705B-D8FC-43DE-B9DD-BD39566FE3C2,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E4F41B31-9D9B-4DB4-9350-57C7C7AA4CD9,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
37D088FC-2B9D-400A-BCEE-886A40321516,E4FE7A36-D5FC-40B3-88B1-BF6643427869,861A4326-0249-43E1-9DF3-1009CF3E3081
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E507C534-7F6C-4BB5-9B62-C582D69083A1,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,E508175E-E728-43DB-94B2-E40E9FE00DFB,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E50C75D2-6BA2-4667-947F-026288E4F89C,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E515F88C-7568-4AF6-8615-63479182C104,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
B6121EAC-9C11-4572-8141-73D28B6B0C30,E5167C61-84BD-4B35-9AC5-D5EE44F9BAEB,BF45D8F6-A560-441D-8BB4-E266EB9790AD
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E5194435-ED64-42D8-B5E9-65A689C37310,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E5246D47-9253-49E8-AAD9-A7ECC75833B5,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E530A3CC-3A34-4191-8117-B09C9387CB43,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E5362CFA-5048-45BC-AC34-881A2FADFDC7,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E5396485-201E-406A-8DF2-6F5AE816BB2D,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,E53BECEC-78DB-483D-8412-971124F3C4DB,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4CDB4A00-DC23-4363-9576-27FC09C97D47,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
322A791D-05E7-483A-86BB-08777D2F4E00,4CE45F0C-0471-4A09-929B-28762F44077D,43AE8963-47DC-4BB0-972A-A12A55F48091
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4CE6FA33-00E4-4B09-AC5A-C7FA7307078D,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4CF64681-A1BF-4541-B223-7B2CB4DA605B,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4CFB94D2-E330-4B43-BA69-91309C65B6E5,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4CFBCA39-A3EE-4B25-B33F-07EBFB00C242,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4CFD474F-1228-4864-BC54-4C5A5FA88954,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
77F10C05-03F4-4C95-844E-1F582F3015E4,4CFFA7A7-3E79-471B-96E5-AC34C1EEF8FB,0D2A3646-C77A-4DD6-9FEA-89FA22EB0E28
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D06F45A-4147-4ED8-B9D3-B58448DC5E19,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D0A9CB3-0275-4071-9666-38BFA6EBEC3B,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
D55C1BE5-5C9B-4794-BC70-6829B473EFC5,4D1253DB-37CE-4B05-AF98-088D6A1A03B6,2AC540C1-2A39-40BB-8DF0-2BC4C6DF7D12
