CODE,NK_Codetable_CultureForm,NK_CultureForm,NK_Indication
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,000B3CDB-E670-4C10-89AD-748451EA394C
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0023CFBC-72E2-4833-9A38-DFA324A725E2
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0097D365-EDD5-41B1-8257-0378CBE3129F
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0098E584-AA59-4E46-A1E4-E696A4A953DC
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0099DDFF-1FF8-4567-A338-E6D2EF3861D8
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,00BA34A4-7216-4049-8D09-1E39E04957E0
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,00BA34A4-7216-4049-8D09-1E39E04957E0
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0121123C-B0DE-47CC-8386-FE1974B161AB
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,013B5946-800D-45B0-9113-195C44C819A8
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,019D3E4B-E231-4153-AD5A-2A4B1F285003
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,01CAA053-8940-4A03-BBB2-441C945DA9DF
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,01CDED89-D1E6-4A2D-AC45-85F237389459
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0207E86D-B846-471E-B67A-B59E27D4685A
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0212E57C-48FA-4544-9328-D404A66056E1
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0269A639-F17E-4FFC-BCC5-E77A1039930B
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,02A29926-91DF-4D05-AB3C-F31B977E9056
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,02AB9139-115E-4C2E-838B-99CFB9EBD100
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,02CA3D0C-2EB5-47D5-B183-E3895190CE3B
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,02E1AA7E-08F1-497C-B681-F9C641FD90E8
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,02F15194-EFB6-443F-9FAD-0293AF446F3B
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,031F8A0C-9958-4B89-946E-28D27A338598
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0358C071-A277-4703-B8B2-7B8134BCA5AF
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,036E886F-5674-46E1-8C2C-D17A9F5037B9
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,036E886F-5674-46E1-8C2C-D17A9F5037B9
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0392CC36-7FA9-4114-B8C7-FAF79EF839BA
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,03CF3CBC-1E30-4F2E-9337-AF1F4B3C1A1E
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,03DE96CC-1ACA-4707-8FAE-3D9675BCB851
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0457E114-8FF9-4559-9D7E-F4770C6072F0
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,04ABAB3A-15A3-4392-8CC6-047D81BE7362
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,04BFDB57-B187-4230-BCBC-81582F0BFF05
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,04CE33F7-84FB-4F28-8E60-DFAD53FF10B1
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,04F117EA-3459-4328-9DC2-10865D013AE5
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,04F9523A-2DCE-4716-83AB-2B9E48AC46DA
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,054B03D8-0164-42B4-ABA6-98D2BF788DD2
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,054B03D8-0164-42B4-ABA6-98D2BF788DD2
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,05A37201-CA77-48C1-984C-EA126485498E
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,05A41C13-A4DD-431A-860E-FDBEE8C9721C
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,05BAC626-9250-4EF5-A20B-19AD4674CA01
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,05C7C070-707A-43B6-B9FB-2844651F0454
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,05C7EECA-2308-4834-B21F-DAE588F4C7C8
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,05CF6ED0-74F0-4053-96B3-315F22C81477
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,06170379-A0C3-4788-830B-91A492480C18
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,06FD06A6-E7D0-423C-8B90-6CF4404E109C
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,06FF7751-2C9F-4D48-9974-04FA979B12C0
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0730E5E7-2FC6-45A9-87B4-A7034DABE89D
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,07BA15EB-361D-4C9A-AEEF-15F7866139C0
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,07F16152-596D-4AE8-8F0E-EBE0C7685F6F
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,08407C2B-4527-4E03-BE1B-68B4CD666963
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,084C7F51-CCE5-493C-982B-B9211D54E5F0
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,091D5BA9-374E-4AC2-8EB7-5BD9D580513C
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,09991543-FCC1-4CD3-8C65-A2854792DA39
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,09991543-FCC1-4CD3-8C65-A2854792DA39
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,09BFB80F-B6AD-4A3C-9FCD-1ADEED140E79
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,09EA2CB3-305C-44FD-8724-74438B384417
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0A16868F-13B2-4C15-9666-737BF893BF15
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0A2B9EE3-9018-4809-BE88-B5179610E4C3
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0A498731-5B52-4AC9-9763-FC26314A61D0
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0A5278F0-6BB6-49F5-B488-4AB82B135475
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0A7230DF-E4A1-4A9F-8D1D-1E0DD2B81E0E
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0B260243-CDED-40EF-BB51-28349D73D8F4
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0B27E54A-361D-4C46-858A-E41B3643CA82
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0B39D878-F4E9-4C6E-9F35-7AD084059A2A
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0B912F2C-73F3-4845-BC81-0EEDB665FA75
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0BADDA25-6EF9-4D83-BCA3-648DC8E419AD
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0C29A35C-C4A2-4C90-80B0-E96CF93C29C2
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0CAD489E-1D00-426D-BEBC-97499A393235
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0CC9078F-02DB-4425-A286-17C654EBB49D
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0CF64A1B-A88C-4A06-B85A-AD3BF5D026EE
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0CFE51CF-541E-4144-8DA1-2D1C8462E31D
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0D0F0E42-6BC4-43C4-BBB0-2A4085FA7B37
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0D40DBA3-6653-4094-B9A1-CB095855F274
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0D4EBFF1-0AB3-4212-9AF4-0DFADAB92634
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0DBBCE9E-5149-483A-9FBA-E7ADC323D37A
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0DD9DA45-0A5F-46BD-9040-D6453FD66E5C
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0DF329DD-2739-40AE-ABC0-04852C309EEF
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0E07AEFF-51B5-4C9F-9C98-2053C8B02A0D
6407,D48A6DA5-F6F5-40CA-8E8F-1C6A91C4AE33,D9B958AD-F18B-44A3-BFC4-03E109AB8A94,0ED00F50-4D62-43CC-AF56-306DBC79E039
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0EF0F5E9-1C7A-4A0B-BD99-180BB39C4852
6414,547CA525-6177-4A73-AC2D-4B7018AD81DA,EB66C404-1775-418A-82D1-C7C576F1EE84,0EF70938-5012-4727-B6E0-2FB4E26BE3D2
