NK_Codetable_Culture                 NK_Codetable_Culture_AdditionalText  NK_Codetable_Parent_Culture          NK_Culture                           NK_Indication
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 4FA09E08-5260-473D-B141-16A45B1BC9AD
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 5070804B-343E-4593-8C23-8DD7288BAF2A
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 5B4ADC73-4AE3-4FBE-8B0D-CFEE33A68B12
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 5DB45BBC-D075-4F31-AB51-1FA66628DDD0
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 67B236A7-A1A9-4A83-9566-072CED712F3F
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 69C87029-166A-49D7-BC77-5EED9BB33503
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 701265F5-73CA-487A-869F-BC61DB370F71
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 845E59E7-BE42-4847-AD68-69127D25DC46
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 8AA6DAA6-4EBE-4820-B8AF-B78226AFE5F0
01AFF6EB-9C8D-4D0D-B225-0BA07B59A72F NULL                                 1DD3F253-4B23-4B69-BFB1-1C24CE7D5508 4AC2920A-7FBA-4577-8103-56719F38E6EC 90503573-DA16-43DF-BE1C-0139C106172A
