NK_Codetable,NK_Product,NK_SignalWord,SHORT_NAME
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F3592E2D-CA44-47EB-82F1-A8EFA5FFCCA6,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,F389A510-5679-410D-928E-64E97AFC5BEC,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,F3923D17-161D-46F2-AAD7-085DB3E80C68,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,F40387E5-97C8-4C60-9507-C3E58D8303DD,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F4952CC3-C858-4F8F-8A1F-254F2CE17CA9,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F499D3C8-C673-4219-8453-C398F0A59D6E,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,F501AEF4-6B38-4799-BB77-C5869BBF3997,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F50CCB3A-DCEB-4315-92BA-E8E964B55547,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,F5832C9A-7028-472A-8D63-EDC0F6CE6D62,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F5BC59D9-2E3F-409B-8627-F0ADBAB356C2,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F5C2F7F7-93A6-4C5F-A47C-378CC8092070,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,F5F19F62-9887-43C2-8658-39445A250D35,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,F6D8BA00-68B8-480A-939A-4A096A07A482,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F6F4BFC9-A643-4D3F-AC43-641A4A911374,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,F77F9C47-C94D-46EE-8D9A-F2902E004DC6,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,F78CA395-86C6-4536-B59A-798DAA7355A8,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F7C44382-6A24-41E1-AAD4-F7FFD71D8754,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,F7F18F34-CDB1-4CDC-B024-3C8989493DF9,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,F8B2A60D-5AED-4D20-860C-5DEBF6496443,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,F8B2A60D-5AED-4D20-860C-5DEBF6496443,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
NULL,F8C9DBFE-D274-42B7-A574-4F32D7AB266A,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,F8C9DBFE-D274-42B7-A574-4F32D7AB266A,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
NULL,F8FD7ABA-1A7D-42E0-A0D2-F34764FCE8BA,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F907A042-D0F8-48A0-87D9-CA4DE79470D2,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F90AF80B-0265-4AC4-9221-3480776F069B,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,F92666DF-F230-4509-99DE-2763C28B7EAC,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,F92666DF-F230-4509-99DE-2763C28B7EAC,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
NULL,F983AD73-F7A7-4DFB-8855-C9A6B7E7659F,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F9950EA1-F7C1-476C-A00C-67D4E64987F8,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,F9D15D36-96BE-4E84-98A4-9344D1F3C068,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,FA29AC18-958D-4090-B819-36746F24B4D9,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,FA29AC18-958D-4090-B819-36746F24B4D9,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FA752EDC-A9AE-47DA-A013-641168C7B8C0,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FB25CB8D-1E33-4656-A34D-91E31C5C8D0E,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,FB3861E6-78DA-4426-B756-D6CE2C305FD7,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,FB3861E6-78DA-4426-B756-D6CE2C305FD7,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FB40D351-CFCA-44E5-9BD6-E9EB8DC5F776,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FBA51FF3-4770-4652-8845-2B2C5AE9B8E0,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FBB4431F-E794-47E3-BEC8-2D4A427B17E3,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,FBD55098-DC99-4E92-9519-376F54412CCA,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,FBD55098-DC99-4E92-9519-376F54412CCA,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,FBDA6077-CFFA-491F-A4F9-9E46F8C36C6D,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
NULL,FC037AA7-2BBB-444B-B329-87D5FA0B689E,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,FC037AA7-2BBB-444B-B329-87D5FA0B689E,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FC095585-C382-4A7D-902D-9D11B0211FED,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,FC2006F0-432B-415B-8462-F79578935658,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FC2B0E8A-B81A-4EF8-8A03-49362EDC894F,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,FC53A568-EB75-4869-9EC9-6C0CF185DB1B,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,FCA5023E-75D9-427D-83DF-0C96CA03118E,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,FD1C2154-77FE-4B70-AB21-86E9AA4FB1BD,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FD2340E8-BE8C-4DF7-AAC6-E0A3B3D335B6,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
NULL,FE1A6074-F1FC-45E7-B5D0-81F5E1C61B17,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,FE1A6074-F1FC-45E7-B5D0-81F5E1C61B17,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,NULL
8B266770-B9CF-4C9D-8789-C45DBBFE4976,FE288626-CBBE-4F1D-BB35-FF0DE0961DCB,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,Achtung
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,FE414F4E-CB14-4C30-9706-1B7A910D2F29,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
E93D73C0-A4B8-4F9C-BC61-73C328A8B0F9,FE5260B8-FCA4-4BD0-ABA4-8FEE59D75C84,D7B6AF15-BA3F-4942-A937-80C225A1F1A4,Gefahr
NULL,FEA27DCB-5DC9-48C3-B4C0-B5F6B9E604CE,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL
NULL,FF0C7996-B49E-41B7-8CD1-DA9A29BD30AE,8DF54B6A-4D84-43CB-9F20-FB99B6527C0E,NULL

(1241 rows affected)


Completion time: 2026-01-27T14:17:21.4207676+01:00
